,price,area,flat_type,locality,distance_prague_km,district,city
5684,15000,39,2+1,Praha 2 - Nové Město,0.9231083492001811,Praha 2 - Nové Město,Praha 2
5685,11000,30,2+1,Praha 10 - Záběhlice,6.827861053778812,Praha 10 - Záběhlice,Praha 10
5686,15000,35,2+kk,Praha 10 - Vršovice,3.387402464565182,Praha 10 - Vršovice,Praha 10
5687,14000,30,2+kk,Praha 5 - Třebonice,9.818150944354358,Praha 5 - Třebonice,Praha 5
5688,16000,41,3+1,Praha 5 - Hlubočepy,6.606435535925055,Praha 5 - Hlubočepy,Praha 5
5689,11000,25,2+kk,Praha 10 - Horní Měcholupy,10.456896162645318,Praha 10 - Horní Měcholupy,Praha 10
5690,14000,30,2+kk,Praha 5 - Třebonice,9.874520158806128,Praha 5 - Třebonice,Praha 5
5691,10000,16,1+kk,Praha 4 - Michle,4.7728742800071995,Praha 4 - Michle,Praha 4
5692,12000,31,2+kk,Praha 7 - Holešovice,3.492159680287342,Praha 7 - Holešovice,Praha 7
5693,10000,14,1+kk,Praha 10 - Uhříněves,14.211327215414952,Praha 10 - Uhříněves,Praha 10
5694,11000,23,2+kk,Praha 4 - Krč,4.447555704341002,Praha 4 - Krč,Praha 4
5695,11000,21,1+kk,Praha 9 - Prosek,6.462006006251567,Praha 9 - Prosek,Praha 9
5696,10000,17,1+kk,Praha 4 - Chodov,7.357218308891089,Praha 4 - Chodov,Praha 4
5697,19000,25,1+kk,Praha 7 - Holešovice,3.043955284093946,Praha 7 - Holešovice,Praha 7
5698,15000,31,2+kk,Praha 9 - Vysočany,6.401757218929902,Praha 9 - Vysočany,Praha 9
5699,8000,17,1+kk,Praha 4 - Chodov,7.926378910463687,Praha 4 - Chodov,Praha 4
5700,11000,19,1+kk,Praha 9 - Střížkov,5.8810135617963075,Praha 9 - Střížkov,Praha 9
5701,11000,19,1+kk,Praha 9 - Hloubětín,7.876566904623905,Praha 9 - Hloubětín,Praha 9
5702,9000,18,1+kk,Praha 10 - Záběhlice,6.947220030346194,Praha 10 - Záběhlice,Praha 10
5703,14000,29,2+1,Praha 4 - Podolí,3.4727265076846843,Praha 4 - Podolí,Praha 4
5705,16000,42,3+kk,Praha 8 - Bohnice,5.20760190530329,Praha 8 - Bohnice,Praha 8
5706,10000,22,1+1,Praha 5 - Smíchov,1.7818637148681926,Praha 5 - Smíchov,Praha 5
5707,11000,19,1+kk,Praha 9 - Hloubětín,7.471859046221465,Praha 9 - Hloubětín,Praha 9
5708,19000,50,3+kk,Praha 6 - Veleslavín,5.30175195730364,Praha 6 - Veleslavín,Praha 6
5709,14000,38,2+kk,Praha 5 - Jinonice,5.918297512917318,Praha 5 - Jinonice,Praha 5
5710,11000,26,2+kk,Praha 5 - Hlubočepy,7.393276542483694,Praha 5 - Hlubočepy,Praha 5
5711,17000,42,2+1,Praha 1 - Staré Město,0.3494710674244803,Praha 1 - Staré Město,Praha 1
5713,14000,47,3+kk,Praha 5 - Smíchov,7.402779973966338,Praha 5 - Smíchov,Praha 5
5714,10000,20,1+kk,Praha 5 - Zličín,10.406178179429887,Praha 5 - Zličín,Praha 5
5715,16000,39,3+kk,Praha 5 - Hlubočepy,6.69810182110248,Praha 5 - Hlubočepy,Praha 5
5716,12000,28,2+kk,Praha 5 - Smíchov,1.9858299663728507,Praha 5 - Smíchov,Praha 5
5717,18000,40,3+kk,Praha 5 - Jinonice,6.108370338878568,Praha 5 - Jinonice,Praha 5
5718,10000,20,1+kk,Praha 2 - Nusle,2.3019699247420817,Praha 2 - Nusle,Praha 2
5719,15000,44,2+kk,Praha 5 - Radotín,11.833128460243318,Praha 5 - Radotín,Praha 5
5720,15000,41,3+kk,Praha 10 - Horní Měcholupy,10.301346416308634,Praha 10 - Horní Měcholupy,Praha 10
5721,11000,25,1+1,Praha 10 - Vršovice,2.452775551459924,Praha 10 - Vršovice,Praha 10
5722,16000,34,2+kk,Praha 10 - Michle,4.352758724816639,Praha 10 - Michle,Praha 10
5723,11000,19,1+kk,Praha 4 - Háje,9.596371209265167,Praha 4 - Háje,Praha 4
5725,16000,43,3+1,Praha 10 - Vršovice,3.319401589392153,Praha 10 - Vršovice,Praha 10
5726,12000,28,2+kk,Praha 10 - Vršovice,3.533922129446543,Praha 10 - Vršovice,Praha 10
5727,10000,19,1+kk,Praha 7 - Holešovice,1.841043673822231,Praha 7 - Holešovice,Praha 7
5728,58000,162,other,Praha 6 - Střešovice,2.825716577662024,Praha 6 - Střešovice,Praha 6
5729,8000,14,1+kk,Praha 10 - Vršovice,3.1393617755009178,Praha 10 - Vršovice,Praha 10
5730,10000,28,2+kk,Praha 3 - Žižkov,2.1851516073572768,Praha 3 - Žižkov,Praha 3
5731,11000,16,1+kk,Praha 2 - Vinohrady,1.8164400198701023,Praha 2 - Vinohrady,Praha 2
5732,18000,26,2+1,Praha 7 - Holešovice,3.190768779339127,Praha 7 - Holešovice,Praha 7
5733,17000,42,3+kk,Praha 3 - Žižkov,4.097309523589706,Praha 3 - Žižkov,Praha 3
5734,35000,47,3+kk,Praha 8 - Karlín,3.6900365003031026,Praha 8 - Karlín,Praha 8
5735,35000,47,3+kk,Praha 8 - Karlín,1.9584984076517553,Praha 8 - Karlín,Praha 8
5736,11000,23,2+kk,Praha 4 - Krč,7.143719498564966,Praha 4 - Krč,Praha 4
5737,16000,26,2+kk,Praha 3 - Žižkov,3.318804392425028,Praha 3 - Žižkov,Praha 3
