,price,area,flat_type,locality,distance_prague_km,district,city
1,4000,29,1+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.35561230209335,České Budějovice - České Budějovice 3,České Budějovice
2,9000,44,3+kk,Tábor,75.84419507195855,Tábor,Tábor
3,10000,37,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.02417270588316,České Budějovice - České Budějovice 2,České Budějovice
4,8000,44,3+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",124.55171523606543,České Budějovice - České Budějovice 7,České Budějovice
5,9000,23,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.26567692627646,České Budějovice - České Budějovice 3,České Budějovice
6,6000,22,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.97349458125335,České Budějovice - České Budějovice 3,České Budějovice
7,9000,29,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.9231865975977,České Budějovice - České Budějovice 3,České Budějovice
9,14000,71,4+1,"Hluboká nad Vltavou, okres České Budějovice",114.6909529854308,Hluboká nad Vltavou,Hluboká nad Vltavou
13,8000,41,2+1,"České Budějovice - České Budějovice 6, okres České Budějovice",124.19847677655915,České Budějovice - České Budějovice 6,České Budějovice
14,8000,29,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.50260624672026,České Budějovice - České Budějovice 2,České Budějovice
16,7000,26,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.87996723455966,České Budějovice - České Budějovice 6,České Budějovice
17,8000,39,2+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.6924548465607,České Budějovice - České Budějovice 2,České Budějovice
19,5000,20,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.1451626450927,České Budějovice - České Budějovice 2,České Budějovice
23,8000,25,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",120.11481021396226,České Budějovice - České Budějovice 3,České Budějovice
24,10000,41,4+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.01140690466025,České Budějovice - České Budějovice 3,České Budějovice
25,7000,35,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",124.52656767426055,České Budějovice - České Budějovice 7,České Budějovice
26,8000,30,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.3817600888973,České Budějovice - České Budějovice 3,České Budějovice
28,7000,23,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",120.26136733128595,České Budějovice - České Budějovice 2,České Budějovice
30,11000,41,3+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",124.0696708122191,České Budějovice - České Budějovice 5,České Budějovice
32,5000,23,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.61601403243085,České Budějovice - České Budějovice 2,České Budějovice
33,5000,29,1+1,"České Budějovice - České Budějovice 7, okres České Budějovice",125.65241566182303,České Budějovice - České Budějovice 7,České Budějovice
35,9000,26,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.9121673073682,České Budějovice - České Budějovice 3,České Budějovice
36,8000,25,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",122.06815143809975,České Budějovice - České Budějovice 2,České Budějovice
37,5000,28,2+1,Tábor,75.51926795840893,Tábor,Tábor
38,7000,37,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.08416562381639,České Budějovice - České Budějovice 3,České Budějovice
39,7000,37,3+1,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
40,8000,24,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.27445774970502,České Budějovice - České Budějovice 3,České Budějovice
41,6000,15,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.55276137224948,České Budějovice - České Budějovice 3,České Budějovice
44,10000,34,2+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.48086172547453,České Budějovice - České Budějovice 4,České Budějovice
45,5000,28,1+1,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",112.24017583660417,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
46,8000,29,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.6180942846746,České Budějovice - České Budějovice 3,České Budějovice
48,7000,17,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.91854576233511,České Budějovice - České Budějovice 3,České Budějovice
49,6000,35,2+1,Tábor,76.34851045699493,Tábor,Tábor
50,8000,25,2+kk,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
52,5000,17,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",122.20024241321882,České Budějovice - České Budějovice 2,České Budějovice
53,10000,48,3+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.3849022149266,České Budějovice - České Budějovice 2,České Budějovice
55,10000,34,2+kk,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",112.35700814074927,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
57,8000,35,2+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.55647617637815,České Budějovice - České Budějovice 4,České Budějovice
61,6000,28,2+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",122.89436117948019,České Budějovice - České Budějovice 4,České Budějovice
62,10000,44,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.1451626450927,České Budějovice - České Budějovice 2,České Budějovice
63,6000,13,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.76071883452717,České Budějovice - České Budějovice 3,České Budějovice
69,5000,25,1+1,"České Budějovice - České Budějovice 3, okres České Budějovice",123.14036276253103,České Budějovice - České Budějovice 3,České Budějovice
72,7000,22,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.03037576797354,České Budějovice - České Budějovice 2,České Budějovice
73,7000,35,2+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.68478924146206,České Budějovice - České Budějovice 2,České Budějovice
75,8000,35,2+1,"České Budějovice - České Budějovice 5, okres České Budějovice",124.73856697756517,České Budějovice - České Budějovice 5,České Budějovice
78,7000,22,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.13416300872274,České Budějovice - České Budějovice 3,České Budějovice
79,8000,29,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.08416562381639,České Budějovice - České Budějovice 3,České Budějovice
80,10000,47,4+1,"Strakonice - Strakonice I, okres Strakonice",98.70581419400266,Strakonice - Strakonice I,Strakonice
82,11000,50,3+1,"České Budějovice - České Budějovice 7, okres České Budějovice",124.32806387155179,České Budějovice - České Budějovice 7,České Budějovice
83,8000,34,2+1,"Hluboká nad Vltavou, okres České Budějovice",114.75948973083054,Hluboká nad Vltavou,Hluboká nad Vltavou
85,8000,22,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.14134885833288,České Budějovice - České Budějovice 2,České Budějovice
86,8000,41,3+1,"České Budějovice - České Budějovice 5, okres České Budějovice",124.19841526790634,České Budějovice - České Budějovice 5,České Budějovice
87,8000,20,1+1,"České Budějovice - České Budějovice 5, okres České Budějovice",123.5799336571823,České Budějovice - České Budějovice 5,České Budějovice
88,8000,28,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.83747021183918,České Budějovice - České Budějovice 3,České Budějovice
89,10000,44,2+1,"Písek - Budějovické Předměstí, okres Písek",88.91956050957275,Písek - Budějovické Předměstí,Písek
90,14000,63,3+kk,"Písek - Budějovické Předměstí, okres Písek",88.91956050957275,Písek - Budějovické Předměstí,Písek
92,8000,39,3+1,Tábor,79.60139356702987,Tábor,Tábor
93,9000,32,2+kk,"Písek - Budějovické Předměstí, okres Písek",89.43726294149226,Písek - Budějovické Předměstí,Písek
94,10000,36,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.19737501227365,České Budějovice - České Budějovice 2,České Budějovice
95,8000,29,1+1,Tábor,77.01931541821457,Tábor,Tábor
96,8000,34,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",124.2334797294941,České Budějovice - České Budějovice 6,České Budějovice
97,6000,26,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",126.07893084591673,České Budějovice - České Budějovice 7,České Budějovice
98,10000,31,1+1,"České Budějovice - České Budějovice 7, okres České Budějovice",124.55171523606543,České Budějovice - České Budějovice 7,České Budějovice
99,10000,42,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",125.7513829451264,České Budějovice - České Budějovice 7,České Budějovice
101,9000,32,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.1451626450927,České Budějovice - České Budějovice 2,České Budějovice
102,7000,35,2+1,Tábor,76.65936916856424,Tábor,Tábor
104,7000,42,3+1,"Strakonice - Strakonice I, okres Strakonice",98.91894504432545,Strakonice - Strakonice I,Strakonice
106,4000,13,1+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.24814773444028,České Budějovice - České Budějovice 4,České Budějovice
108,7000,32,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.08530682539634,České Budějovice - České Budějovice 3,České Budějovice
109,9000,46,3+1,"České Budějovice - České Budějovice 2, okres České Budějovice",121.17183636545536,České Budějovice - České Budějovice 2,České Budějovice
111,7000,26,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",125.34830731437317,České Budějovice - České Budějovice 6,České Budějovice
116,9000,39,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.32838288962742,České Budějovice - České Budějovice 3,České Budějovice
117,9000,39,2+kk,"Písek - Budějovické Předměstí, okres Písek",87.50374342232396,Písek - Budějovické Předměstí,Písek
119,6000,25,1+1,Tábor,79.95123061003247,Tábor,Tábor
120,8000,33,2+1,"Hluboká nad Vltavou, okres České Budějovice",114.30876984959941,Hluboká nad Vltavou,Hluboká nad Vltavou
121,8000,28,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.3813179179414,České Budějovice - České Budějovice 3,České Budějovice
122,7000,26,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.81336638661433,České Budějovice - České Budějovice 3,České Budějovice
124,8000,46,3+1,Tábor,79.32486902829224,Tábor,Tábor
125,6000,21,1+kk,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
126,4000,19,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",121.79329210242243,České Budějovice - České Budějovice 3,České Budějovice
128,7000,23,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.42730657082052,České Budějovice - České Budějovice 3,České Budějovice
130,5000,18,1+kk,Tábor,78.21185648412153,Tábor,Tábor
132,6000,22,1+1,"České Budějovice - České Budějovice 6, okres České Budějovice",123.80602503818282,České Budějovice - České Budějovice 6,České Budějovice
133,10000,53,3+kk,"Strakonice - Strakonice I, okres Strakonice",98.97737889510236,Strakonice - Strakonice I,Strakonice
135,10000,39,2+kk,"Písek - Budějovické Předměstí, okres Písek",88.91956050957275,Písek - Budějovické Předměstí,Písek
136,6000,18,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.22109190798828,České Budějovice - České Budějovice 3,České Budějovice
137,7000,23,1+kk,"Hluboká nad Vltavou, okres České Budějovice",114.89622482111875,Hluboká nad Vltavou,Hluboká nad Vltavou
138,7000,38,2+kk,"Písek - Budějovické Předměstí, okres Písek",88.61398178722571,Písek - Budějovické Předměstí,Písek
141,7000,30,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.41484547877822,České Budějovice - České Budějovice 2,České Budějovice
145,7000,35,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.08416562381639,České Budějovice - České Budějovice 3,České Budějovice
146,9000,27,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.07163454982818,České Budějovice - České Budějovice 2,České Budějovice
147,9000,39,2+1,"České Budějovice - České Budějovice 4, okres České Budějovice",123.43427627226902,České Budějovice - České Budějovice 4,České Budějovice
148,8000,29,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.3052336902244,České Budějovice - České Budějovice 3,České Budějovice
149,10000,45,3+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",124.46310706406794,České Budějovice - České Budějovice 6,České Budějovice
150,10000,39,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.3238042923931,České Budějovice - České Budějovice 3,České Budějovice
151,9000,32,2+1,"České Budějovice - České Budějovice 6, okres České Budějovice",124.45696591476988,České Budějovice - České Budějovice 6,České Budějovice
152,8000,22,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.10275616275761,České Budějovice - České Budějovice 3,České Budějovice
153,11000,41,3+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",125.24012543566634,České Budějovice - České Budějovice 7,České Budějovice
154,8000,36,2+1,"České Budějovice, okres České Budějovice",123.60077798050722,České Budějovice,České Budějovice
155,6000,25,2+kk,Tábor,79.61742518900428,Tábor,Tábor
158,7000,20,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.09270848249051,České Budějovice - České Budějovice 3,České Budějovice
163,7000,30,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.10436712209753,České Budějovice - České Budějovice 3,České Budějovice
164,8000,26,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.91657885984766,České Budějovice - České Budějovice 3,České Budějovice
165,8000,31,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",123.13416300872274,České Budějovice - České Budějovice 3,České Budějovice
166,10000,45,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",119.92605712947038,České Budějovice - České Budějovice 3,České Budějovice
168,8000,44,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.34865390618664,České Budějovice - České Budějovice 3,České Budějovice
170,7000,22,1+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",124.02813697476881,České Budějovice - České Budějovice 5,České Budějovice
172,10000,31,2+1,"České Budějovice - České Budějovice 6, okres České Budějovice",124.46310706406794,České Budějovice - České Budějovice 6,České Budějovice
173,7000,23,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.69325410118503,České Budějovice - České Budějovice 3,České Budějovice
174,7000,36,2+1,"České Budějovice - České Budějovice 6, okres České Budějovice",123.46177494110802,České Budějovice - České Budějovice 6,České Budějovice
176,7000,31,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",125.23478515313997,České Budějovice - České Budějovice 6,České Budějovice
178,7000,23,1+1,"Písek - Budějovické Předměstí, okres Písek",88.8710079364387,Písek - Budějovické Předměstí,Písek
182,5000,17,1+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",125.7942556074609,České Budějovice - České Budějovice 7,České Budějovice
183,8000,29,2+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",123.95548629663621,České Budějovice - České Budějovice 5,České Budějovice
184,6000,36,2+1,Tábor,75.51926795840893,Tábor,Tábor
185,11000,28,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",125.57773126004768,České Budějovice - České Budějovice 7,České Budějovice
187,7000,30,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.60827176408937,České Budějovice - České Budějovice 3,České Budějovice
190,7000,42,2+1,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
191,8000,23,1+1,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
193,9000,40,3+1,"Písek - Budějovické Předměstí, okres Písek",87.99536715054315,Písek - Budějovické Předměstí,Písek
194,8000,27,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.81550986447925,České Budějovice - České Budějovice 6,České Budějovice
195,7000,21,1+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.62034209754682,České Budějovice - České Budějovice 3,České Budějovice
197,8000,24,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",122.42559693113628,České Budějovice - České Budějovice 2,České Budějovice
198,7000,29,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.87866375063457,České Budějovice - České Budějovice 3,České Budějovice
199,10000,46,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.60088597715274,České Budějovice - České Budějovice 3,České Budějovice
200,4000,14,other,"České Budějovice - České Budějovice 5, okres České Budějovice",124.43846087672146,České Budějovice - České Budějovice 5,České Budějovice
201,8000,35,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.88873934337217,České Budějovice - České Budějovice 3,České Budějovice
204,8000,24,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.22153394250728,České Budějovice - České Budějovice 3,České Budějovice
206,5000,36,2+kk,"Písek - Vnitřní Město, okres Písek",88.63381188864246,Písek - Vnitřní Město,Písek
208,8000,38,3+1,"Písek - Budějovické Předměstí, okres Písek",88.40103532683938,Písek - Budějovické Předměstí,Písek
209,7000,13,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.3367548067356,České Budějovice - České Budějovice 3,České Budějovice
210,8000,50,2+kk,"Písek - Budějovické Předměstí, okres Písek",89.2676139157187,Písek - Budějovické Předměstí,Písek
211,7000,22,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.61643672618565,České Budějovice - České Budějovice 3,České Budějovice
212,10000,38,3+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.36915850739484,České Budějovice - České Budějovice 2,České Budějovice
213,7000,37,3+kk,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",112.07848467117432,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
214,6000,31,2+1,"České Budějovice - České Budějovice 7, okres České Budějovice",124.52656767426055,České Budějovice - České Budějovice 7,České Budějovice
215,6000,32,2+1,Tábor,77.06037034303027,Tábor,Tábor
217,11000,49,3+kk,"Hluboká nad Vltavou, okres České Budějovice",114.11018804457802,Hluboká nad Vltavou,Hluboká nad Vltavou
218,6000,26,1+1,"Písek - Budějovické Předměstí, okres Písek",88.83567656032405,Písek - Budějovické Předměstí,Písek
219,7000,34,2+1,"Písek - Budějovické Předměstí, okres Písek",88.83567656032405,Písek - Budějovické Předměstí,Písek
220,7000,35,2+kk,"Písek - Vnitřní Město, okres Písek",88.58865049339369,Písek - Vnitřní Město,Písek
221,8000,29,2+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.43427627226902,České Budějovice - České Budějovice 4,České Budějovice
222,8000,31,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.49041061245495,České Budějovice - České Budějovice 3,České Budějovice
223,11000,39,5+1,"České Budějovice - České Budějovice 3, okres České Budějovice",123.01140690466025,České Budějovice - České Budějovice 3,České Budějovice
225,8000,34,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.87996723455966,České Budějovice - České Budějovice 6,České Budějovice
226,7000,24,1+kk,"Písek - Vnitřní Město, okres Písek",88.66942210545564,Písek - Vnitřní Město,Písek
228,6000,25,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.275645365752,České Budějovice - České Budějovice 3,České Budějovice
229,7000,22,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.14658226942399,České Budějovice - České Budějovice 2,České Budějovice
233,6000,35,2+1,"České Budějovice - České Budějovice 2, okres České Budějovice",123.05557554266687,České Budějovice - České Budějovice 2,České Budějovice
235,9000,46,3+1,Tábor,79.41290762583589,Tábor,Tábor
243,9000,47,4+1,"Hluboká nad Vltavou, okres České Budějovice",114.07133336954782,Hluboká nad Vltavou,Hluboká nad Vltavou
245,11000,38,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",119.75158650994288,České Budějovice - České Budějovice 3,České Budějovice
246,8000,33,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.96041619729135,České Budějovice - České Budějovice 3,České Budějovice
248,6000,26,1+1,"České Budějovice - České Budějovice 5, okres České Budějovice",124.33584560019807,České Budějovice - České Budějovice 5,České Budějovice
251,6000,19,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.12506549861645,České Budějovice - České Budějovice 2,České Budějovice
252,7000,19,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.86598511463757,České Budějovice - České Budějovice 2,České Budějovice
253,7000,34,2+1,Tábor,79.90862084417932,Tábor,Tábor
254,7000,28,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",121.17183775637359,České Budějovice - České Budějovice 2,České Budějovice
255,9000,28,2+1,"České Budějovice - České Budějovice 5, okres České Budějovice",124.08152405446515,České Budějovice - České Budějovice 5,České Budějovice
257,10000,30,2+kk,"Hluboká nad Vltavou, okres České Budějovice",113.92871911930015,Hluboká nad Vltavou,Hluboká nad Vltavou
258,7000,26,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.83792582557237,České Budějovice - České Budějovice 3,České Budějovice
259,11000,39,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",121.1451626450927,České Budějovice - České Budějovice 2,České Budějovice
261,8000,13,1+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.65324590181801,České Budějovice - České Budějovice 6,České Budějovice
262,8000,38,2+kk,"Písek - Budějovické Předměstí, okres Písek",88.10498510198747,Písek - Budějovické Předměstí,Písek
263,10000,44,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",120.26136733128595,České Budějovice - České Budějovice 2,České Budějovice
266,5000,29,1+kk,"Písek - Vnitřní Město, okres Písek",88.76651057455658,Písek - Vnitřní Město,Písek
267,10000,41,3+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.19682378129627,České Budějovice - České Budějovice 3,České Budějovice
270,7000,25,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.91896247991993,České Budějovice - České Budějovice 3,České Budějovice
271,11000,45,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.09823114167244,České Budějovice - České Budějovice 2,České Budějovice
272,7000,22,1+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.6363424311706,České Budějovice - České Budějovice 3,České Budějovice
274,8000,38,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.71405836506247,České Budějovice - České Budějovice 3,České Budějovice
278,10000,51,4+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.31022533795876,České Budějovice - České Budějovice 2,České Budějovice
279,10000,47,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",123.08416562381639,České Budějovice - České Budějovice 3,České Budějovice
281,5000,12,1+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",124.0383194407551,České Budějovice - České Budějovice 5,České Budějovice
282,5000,33,2+1,Tábor,76.72241231781365,Tábor,Tábor
283,7000,19,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.8812817001492,České Budějovice - České Budějovice 2,České Budějovice
288,8000,34,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.78673937046517,České Budějovice - České Budějovice 3,České Budějovice
289,8000,32,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.2232959787266,České Budějovice - České Budějovice 3,České Budějovice
290,10000,36,2+kk,"České Budějovice - České Budějovice 7, okres České Budějovice",125.9038233466121,České Budějovice - České Budějovice 7,České Budějovice
291,5000,17,1+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.28356899702261,České Budějovice - České Budějovice 3,České Budějovice
296,10000,44,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.07163454982818,České Budějovice - České Budějovice 2,České Budějovice
297,8000,36,3+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.33694421377943,České Budějovice - České Budějovice 4,České Budějovice
298,6000,17,1+kk,"České Budějovice - České Budějovice 4, okres České Budějovice",123.33694421377943,České Budějovice - České Budějovice 4,České Budějovice
300,8000,29,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.97349458125335,České Budějovice - České Budějovice 3,České Budějovice
302,4000,17,1+kk,"Frymburk, okres Český Krumlov",158.68085213946597,Frymburk,Frymburk
303,7000,27,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",123.27467371430406,České Budějovice - České Budějovice 3,České Budějovice
305,8000,35,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",123.04031772281678,České Budějovice - České Budějovice 3,České Budějovice
306,9000,39,3+1,"České Budějovice, okres České Budějovice",123.60078019319427,České Budějovice,České Budějovice
313,7000,16,1+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",123.41491124653112,České Budějovice - České Budějovice 2,České Budějovice
314,8000,34,2+kk,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",112.0160247034916,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
315,11000,41,3+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.97349458125335,České Budějovice - České Budějovice 3,České Budějovice
316,7000,15,1+kk,"Hluboká nad Vltavou, okres České Budějovice",114.1836816315159,Hluboká nad Vltavou,Hluboká nad Vltavou
317,8000,36,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.97117250398848,České Budějovice - České Budějovice 3,České Budějovice
318,7000,46,2+1,Tábor,76.96269373321648,Tábor,Tábor
319,8000,22,1+1,"Písek - Budějovické Předměstí, okres Písek",88.68444431569965,Písek - Budějovické Předměstí,Písek
321,7000,37,2+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.95277506588133,České Budějovice - České Budějovice 2,České Budějovice
322,6000,22,1+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.6924548465607,České Budějovice - České Budějovice 2,České Budějovice
323,5000,41,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.97117250398848,České Budějovice - České Budějovice 3,České Budějovice
324,7000,34,2+1,"České Budějovice - České Budějovice 7, okres České Budějovice",125.46111056021375,České Budějovice - České Budějovice 7,České Budějovice
327,8000,28,2+kk,"České Budějovice - České Budějovice 6, okres České Budějovice",123.39046481315486,České Budějovice - České Budějovice 6,České Budějovice
328,7000,37,3+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.72698050040333,České Budějovice - České Budějovice 3,České Budějovice
332,7000,13,1+kk,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",112.35700814074927,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
334,8000,25,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.44353941058947,České Budějovice - České Budějovice 3,České Budějovice
335,9000,25,2+kk,"Hluboká nad Vltavou, okres České Budějovice",114.10735434866154,Hluboká nad Vltavou,Hluboká nad Vltavou
336,9000,32,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.27006222486331,České Budějovice - České Budějovice 3,České Budějovice
337,11000,34,2+kk,"České Budějovice - České Budějovice 2, okres České Budějovice",124.03865355382334,České Budějovice - České Budějovice 2,České Budějovice
338,8000,23,2+kk,"České Budějovice - České Budějovice 3, okres České Budějovice",122.27006222486331,České Budějovice - České Budějovice 3,České Budějovice
339,7000,29,2+kk,"Písek - Budějovické Předměstí, okres Písek",88.08013429279072,Písek - Budějovické Předměstí,Písek
340,5000,23,1+1,Tábor,76.5969024681304,Tábor,Tábor
341,9000,43,3+1,"České Budějovice - České Budějovice 2, okres České Budějovice",122.2998061298963,České Budějovice - České Budějovice 2,České Budějovice
342,7000,30,2+1,"České Budějovice - České Budějovice 3, okres České Budějovice",122.40521308008364,České Budějovice - České Budějovice 3,České Budějovice
343,7000,21,1+kk,"České Budějovice - České Budějovice 5, okres České Budějovice",124.02837377662382,České Budějovice - České Budějovice 5,České Budějovice
344,7000,22,1+1,"Písek - Budějovické Předměstí, okres Písek",87.69892559442779,Písek - Budějovické Předměstí,Písek
347,8000,29,2+1,"Jindřichův Hradec - Jindřichův Hradec II, okres Jindřichův Hradec",111.9630049070514,Jindřichův Hradec - Jindřichův Hradec II,Jindřichův Hradec
348,9000,39,3+1,"České Budějovice - České Budějovice 3, okres České Budějovice",121.71336551196084,České Budějovice - České Budějovice 3,České Budějovice
